PlayerID,Player,Age,Games,Minutes,FGM,FGA,FTM,FTA,ORB,TRB,AST,STL,BLK,PF,PTS,FGP,FTP,MPG,PPG,RPG,APG,WS25,RANDOM
mariosh01,Shawn Marion,21,51,1260,222,471,72,85,105,332,69,38,53,113,520,0.471,0.847,24.7,10.2,6.5,1.4,9.1,
millean02,Andre Miller,23,82,2093,339,755,226,292,85,280,476,84,17,194,914,0.449,0.774,25.5,11.1,3.4,5.8,10.3,
odomla01,Lamar Odom,20,76,2767,449,1024,302,420,159,595,317,91,95,291,1259,0.438,0.719,36.4,16.6,7.8,4.2,4.7,
poseyja01,James Posey,23,81,2052,230,536,120,150,85,317,146,98,33,207,662,0.429,0.8,25.3,8.2,3.9,1.8,2.7,
szczewa02,Wally Szczerbiak,22,73,2171,342,669,133,161,89,272,201,58,23,175,845,0.511,0.826,29.7,11.6,3.7,2.8,5.2,
terryja01,Jason Terry,22,81,1888,249,600,113,140,24,166,346,90,10,133,657,0.415,0.807,23.3,8.1,2,4.3,7.4,
thomake01,Kenny Thomas,22,72,1797,212,531,138,209,147,437,113,54,22,167,594,0.399,0.66,25,8.3,6.1,1.6,4.6,
bibbymi01,Mike Bibby,20,50,1758,260,605,127,169,30,136,325,78,5,122,662,0.43,0.751,35.2,13.2,2.7,6.5,9.3,
cartevi01,Vince Carter,22,50,1760,345,766,204,268,94,283,149,55,77,140,913,0.45,0.761,35.2,18.3,5.7,3,7,
davisri01,Ricky Davis,19,46,557,81,200,45,59,40,84,58,30,7,46,209,0.405,0.763,12.1,4.5,1.8,1.3,4.2,
dickemi01,Michael Dickerson,23,50,1558,215,462,46,72,26,83,95,27,11,90,547,0.465,0.639,31.2,10.9,1.7,1.9,1.8,
doleami01,Michael Doleac,21,49,780,125,267,54,80,66,148,20,19,17,117,304,0.468,0.675,15.9,6.2,3,0.4,0.3,
garripa01,Pat Garrity,22,39,538,85,170,40,56,26,75,18,8,3,62,217,0.5,0.714,13.8,5.6,1.9,0.5,5.1,
harprma01,Matt Harpring,22,50,1114,148,320,102,143,88,214,45,30,6,112,408,0.463,0.713,22.3,8.2,4.3,0.9,6.1,
hughela01,Larry Hughes,20,50,988,170,414,107,151,83,189,77,44,14,97,455,0.411,0.709,19.8,9.1,3.8,1.5,3.8,
jamisan01,Antawn Jamison,22,47,1058,178,394,90,153,131,301,34,38,16,102,449,0.452,0.588,22.5,9.6,6.4,0.7,6.4,
lopezfe01,Felipe López,24,47,1218,169,379,87,135,69,166,62,49,14,128,437,0.446,0.644,25.9,9.3,3.5,1.3,0.4,
moblecu01,Cuttino Mobley,23,49,1456,172,405,90,110,22,111,121,44,23,98,487,0.425,0.818,29.7,9.9,2.3,2.5,8.2,
nesbyty01,Tyrone Nesby,23,50,1288,182,405,104,133,57,175,82,77,20,143,503,0.449,0.782,25.8,10.1,3.5,1.6,0.3,
nowitdi01,Dirk Nowitzki,20,47,958,136,336,99,128,41,162,47,29,27,105,385,0.405,0.773,20.4,8.2,3.4,1,11.5,
olowomi01,Michael Olowokandi,23,45,1279,172,399,57,118,120,357,25,27,55,137,401,0.431,0.483,28.4,8.9,7.9,0.6,-0.4,
piercpa01,Paul Pierce,21,48,1632,284,647,139,195,117,309,115,82,50,139,791,0.439,0.713,34,16.5,6.4,2.4,10.1,
stojape01,Peja Stojakovi?,21,48,1025,141,373,63,74,43,143,72,41,7,43,402,0.378,0.851,21.4,8.4,3,1.5,10.1,
traylro01,Robert Traylor,21,49,786,108,201,43,80,80,182,38,44,44,140,259,0.537,0.538,16,5.3,3.7,0.8,2.4,
willija02,Jason Williams,23,50,1805,231,617,79,105,14,153,299,95,1,91,641,0.374,0.752,36.1,12.8,3.1,6,3.8,
abdulta01,Tariq Abdul-Wahad,23,59,959,144,357,84,125,44,116,51,35,13,81,376,0.403,0.672,16.3,6.4,2,0.9,2.2,
anderde01,Derek Anderson,23,66,1839,239,586,275,315,55,187,227,86,13,136,770,0.408,0.873,27.9,11.7,2.8,3.4,3.3,
